Code,Name,Link,longitude,latitude
ZH00244,中牟,https://textcourt.ames.ox.ac.uk/database/entities/ZH00244,114.02625,34.73209
ZH00293,丹徒,https://textcourt.ames.ox.ac.uk/database/entities/ZH00293,119.44429,32.20649
ZH00317,九江府,https://textcourt.ames.ox.ac.uk/database/entities/ZH00317,0,29.72236
ZH00049,兗州,https://textcourt.ames.ox.ac.uk/database/entities/ZH00049,116.98723,35.5986
ZH00052,冀州,https://textcourt.ames.ox.ac.uk/database/entities/ZH00052,115.56381,37.56598
ZH00083,南山,https://textcourt.ames.ox.ac.uk/database/entities/ZH00083,102.46307,36.44998
ZH00062,南昌,https://textcourt.ames.ox.ac.uk/database/entities/ZH00062,115.89772,28.6749
ZH00060,南豐縣,https://textcourt.ames.ox.ac.uk/database/entities/ZH00060,116.52993,27.21431
ZH00033,南陽,https://textcourt.ames.ox.ac.uk/database/entities/ZH00033,112.53547,33.00168
ZH00061,吉水,https://textcourt.ames.ox.ac.uk/database/entities/ZH00061,115.13225,27.21437
ZH00140,名山,https://textcourt.ames.ox.ac.uk/database/entities/ZH00140,103.09607,30.09423
ZH00355,吳橋縣,https://textcourt.ames.ox.ac.uk/database/entities/ZH00355,116.50374,37.60676
ZH00126,吳縣,https://textcourt.ames.ox.ac.uk/database/entities/ZH00126,120.61862,31.31271
ZH00136,四川,https://textcourt.ames.ox.ac.uk/database/entities/ZH00136,104.078,30.65039
ZH00248,天台,https://textcourt.ames.ox.ac.uk/database/entities/ZH00248,121.02656,29.13826
ZH00153,天津,https://textcourt.ames.ox.ac.uk/database/entities/ZH00153,117.1555,39.14908
ZH00112,太原府,https://textcourt.ames.ox.ac.uk/database/entities/ZH00112,112.56483,37.87375
ZH00092,寧夏,https://textcourt.ames.ox.ac.uk/database/entities/ZH00092,107.40371,37.7813
ZH00001,山東,https://textcourt.ames.ox.ac.uk/database/entities/ZH00001,117.00149,36.65013
ZH00110,山西,https://textcourt.ames.ox.ac.uk/database/entities/ZH00110,112.56483,37.87375
ZH00300,山陽,https://textcourt.ames.ox.ac.uk/database/entities/ZH00300,119.14111,33.50279
ZH00074,岳陽,https://textcourt.ames.ox.ac.uk/database/entities/ZH00074,111.91692,36.2829
ZH00023,巫山,https://textcourt.ames.ox.ac.uk/database/entities/ZH00023,109.88886,31.08134
ZH00167,廣州府,https://textcourt.ames.ox.ac.uk/database/entities/ZH00167,113.25607,23.13462
ZH00168,廣東,https://textcourt.ames.ox.ac.uk/database/entities/ZH00168,113.25607,23.13462
